country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Bulgaria,Duplicate,SKADE,166,4540,-388,0.88,0.89
Brazil,TACO,SK,1063,27885,-1893,0.9,0.89
Canada,Subroza,Ghost,92,2443,-224,0.87,0.89
Sweden,RuStY,GamerLegion,196,5421,-460,0.88,0.89
Brazil,hardzao,paiN,172,4654,-345,0.89,0.89
Kazakhstan,KrizzeN,AVANGAR,231,5944,-454,0.89,0.89
Sweden,friberg,Ninjas in Pyjamas,810,21341,-1874,0.87,0.89
Finland,Aleksib,Natus Vincere,806,21475,-1578,0.89,0.89
Russia,spaze,Gambit,71,1856,-197,0.86,0.89
Bulgaria,oxygeN,SKADE,104,2829,-254,0.87,0.89
China,Attacker,TYLOO,166,4392,-412,0.87,0.89
Brazil,NEKIZ,Luminosity,313,8207,-869,0.85,0.89
Germany,denis,Sprout,794,21094,-2073,0.86,0.89
Canada,jasonR,Splyce,119,3109,-286,0.87,0.88
France,Xp3,Winterfox,60,1496,-161,0.85,0.88
France,LOGAN,LDLC,122,3202,-297,0.87,0.88
Denmark,TMB,Preasy,133,3483,-339,0.86,0.88
New Zealand,Sico,Grayhound,133,3486,-300,0.87,0.88
Sweden,LNZ,Ninjas in Pyjamas,83,2159,-173,0.87,0.88
Uzbekistan,SANJI,Virtus.pro,476,12915,-1101,0.87,0.88
Poland,morelz,Virtus.pro,67,1807,-172,0.86,0.88
Canada,Jonji,Chaos,61,1540,-171,0.85,0.88
Russia,wayLander,FlipSid3,311,8000,-925,0.84,0.88
Brazil,drop,MIBR,244,6357,-520,0.87,0.88
Poland,mono,Illuminar,60,1621,-126,0.88,0.88
Finland,jemi,HAVU,85,2281,-181,0.88,0.88
Spain,arki,SAW,131,3475,-328,0.86,0.88
Turkey,ngiN,Space Soldiers,378,9898,-779,0.88,0.88
Russia,kUcheR,HellRaisers,116,3110,-299,0.86,0.88
Portugal,roman,SAW,260,6757,-628,0.87,0.87
United States,LeX,Winterfox,60,1496,-187,0.83,0.87
Germany,tahsiN,PENTA,70,1816,-230,0.83,0.87
Denmark,MSL,North,939,24901,-2820,0.85,0.87
Denmark,karrigan,FaZe,1680,44200,-4555,0.85,0.87
Kosovo,SENER1,Bad News Eagles,217,5810,-527,0.86,0.87
Germany,TuGuX,Space Soldiers,81,2138,-190,0.87,0.87
Russia,ravenlot,1WIN,59,1615,-150,0.86,0.87
Ukraine,Zeus,Natus Vincere,720,19150,-1801,0.86,0.87
Korea,zeff,MVP PK,69,1811,-229,0.83,0.87
France,SmithZz,G2,399,10480,-1051,0.86,0.87
Czech Republic,beastik,SINNERS,172,4607,-483,0.85,0.87
Sweden,ztr,Metizport,88,2246,-236,0.84,0.87
Korea,HSK,MVP PK,60,1606,-170,0.85,0.87
Brazil,Tuurtle,MIBR,102,2738,-315,0.84,0.87
Bulgaria,pNshr,Windigo,111,2875,-280,0.86,0.87
Germany,LEGIJA,BIG,341,8994,-1011,0.84,0.87
United States,MAiNLiNE,Selfless,108,2782,-352,0.83,0.87
Australia,aliStair,Grayhound,84,2192,-238,0.84,0.87
Ukraine,Shara,FlipSid3,172,4456,-488,0.85,0.87
Sweden,chawzyyy,Apeks,51,1365,-131,0.86,0.87
Russia,hutji,Vega Squadron,146,3896,-433,0.84,0.86
Sweden,Golden,fnatic,588,15790,-1829,0.84,0.86
Australia,malta,Grayhound,105,2766,-306,0.84,0.86
Spain,dav1g,Movistar Riders,234,6172,-684,0.84,0.86
Belgium,Keoz,GamerLegion,231,5770,-702,0.83,0.86
Kazakhstan,neaLaN,K23,277,7372,-872,0.83,0.86
Ukraine,npl,Natus Vincere,65,1765,-189,0.84,0.86
Russia,jmqa,Quantum Bellator Fire,61,1537,-183,0.84,0.86
Finland,naSu,ENCE,62,1682,-185,0.84,0.86
Russia,keshandr,Vega Squadron,111,2948,-359,0.84,0.86
Ukraine,crush,Vega Squadron,50,1319,-163,0.82,0.86
Denmark,raalz,Sprout,142,3919,-427,0.84,0.85
Hungary,flashie,Orgless,61,1672,-203,0.83,0.85
France,Kyojin,Vitality,136,3577,-387,0.84,0.85
Denmark,maeVe,Orgless,63,1726,-204,0.83,0.85
Brazil,PKL,Luminosity,281,7372,-896,0.83,0.85
Serbia,emi,Valiance,204,5395,-659,0.83,0.85
Denmark,birdfromsky,ECSTATIC,170,4704,-577,0.83,0.85
United Kingdom,MiGHTYMAX,Endpoint,231,6213,-729,0.83,0.85
Belarus,boX,Nemiga,108,2974,-410,0.81,0.84
Russia,S0tF1k,Spirit,245,6371,-846,0.81,0.84
Australia,DickStacy,Grayhound,76,2053,-281,0.81,0.84
Russia,svyat,Hard Legion,78,2088,-248,0.83,0.84
Canada,HexT,Evil Geniuses,55,1481,-202,0.81,0.84
United States,Professor_Chaos,Splyce,61,1537,-191,0.82,0.84
France,JiNKZ,Heretics,64,1651,-207,0.82,0.84
United States,neptune,Ghost,69,1893,-259,0.81,0.84
Canada,FNS,CLG,385,10333,-1328,0.82,0.83
United States,flowsicK,Winterfox,54,1365,-203,0.8,0.83
Poland,mynio,9INE,128,3521,-484,0.81,0.83
Russia,waterfaLLZ,Quantum Bellator Fire,61,1537,-219,0.81,0.83
Germany,kRYSTAL,GODSENT,413,10843,-1456,0.81,0.83
Russia,hooch,Gambit,109,2906,-386,0.81,0.83
Germany,gob b,BIG,580,15364,-2065,0.8,0.83
Canada,daps,NRG,659,17362,-2264,0.81,0.83
Bulgaria,nkl,E-frag.net,225,5842,-773,0.81,0.83
Finland,sAw,HAVU,190,5070,-737,0.8,0.82
Argentina,buda,9z,82,2067,-281,0.8,0.82
United States,Slemmy,Cloud9,81,2195,-309,0.8,0.82
United States,seang@res,Misfits,238,6299,-914,0.8,0.82
Norway,sense,Apeks,93,2126,-304,0.79,0.82
Australia,SPUNJ,Renegades,74,1909,-311,0.78,0.82
South Africa,JT,Complexity,507,13302,-2042,0.78,0.82
United States,SileNt,NRG,78,2033,-341,0.78,0.81
Sweden,pronax,GODSENT,312,8182,-1222,0.79,0.81
Brazil,destiny,Luminosity,87,2209,-371,0.77,0.81
